ts,station_id,event_type,details
324,1,start,"{'car_id': 9, 'proc_time': 65}"
324,7,finish,"{'car_id': 2, 'to': 8}"
325,8,start,"{'car_id': 2, 'proc_time': 115}"
329,2,finish,"{'car_id': 6, 'to': 3}"
329,2,start,"{'car_id': 7, 'proc_time': 86}"
330,3,start,"{'car_id': 6, 'proc_time': 74}"
333,6,finish,"{'car_id': 3, 'to': 7}"
334,7,start,"{'car_id': 3, 'proc_time': 59}"
336,9,finish,"{'car_id': 1, 'to': 10}"
341,5,finish,"{'car_id': 4, 'to': 6}"
342,6,start,"{'car_id': 4, 'proc_time': 64}"
349,3,finish,"{'car_id': 6, 'to': 4}"
352,4,finish,"{'car_id': 5, 'to': 5}"
352,4,start,"{'car_id': 6, 'proc_time': 79}"
353,0,quality_fail,{'severity': 0.29315099486807183}
353,5,start,"{'car_id': 5, 'proc_time': 48}"
357,0,finish,"{'car_id': 15, 'to': 1}"
357,0,start,"{'car_id': 16, 'proc_time': 42}"
357,1,finish,"{'car_id': 9, 'to': 2}"
357,1,start,"{'car_id': 10, 'proc_time': 64}"
359,7,finish,"{'car_id': 3, 'to': 8}"
366,6,finish,"{'car_id': 4, 'to': 7}"
367,2,finish,"{'car_id': 7, 'to': 3}"
367,2,start,"{'car_id': 8, 'proc_time': 71}"
367,7,start,"{'car_id': 4, 'proc_time': 96}"
368,3,start,"{'car_id': 7, 'proc_time': 84}"
373,5,finish,"{'car_id': 5, 'to': 6}"
374,6,start,"{'car_id': 5, 'proc_time': 63}"
374,8,finish,"{'car_id': 2, 'to': 9}"
374,8,start,"{'car_id': 3, 'proc_time': 84}"
375,9,start,"{'car_id': 2, 'proc_time': 80}"
379,4,finish,"{'car_id': 6, 'to': 5}"
380,5,start,"{'car_id': 6, 'proc_time': 60}"
388,8,breakdown,{'downtime': 62}
389,0,finish,"{'car_id': 16, 'to': 1}"
389,0,start,"{'car_id': 17, 'proc_time': 64}"
389,1,finish,"{'car_id': 10, 'to': 2}"
389,1,start,"{'car_id': 11, 'proc_time': 64}"
389,3,quality_fail,{'severity': 0.40101163510785987}
389,3,finish,"{'car_id': 7, 'to': 4}"
390,4,start,"{'car_id': 7, 'proc_time': 72}"
398,6,finish,"{'car_id': 5, 'to': 7}"
398,9,finish,"{'car_id': 2, 'to': 10}"
400,2,finish,"{'car_id': 8, 'to': 3}"
400,2,start,"{'car_id': 9, 'proc_time': 64}"
401,3,start,"{'car_id': 8, 'proc_time': 75}"
401,7,finish,"{'car_id': 4, 'to': 8}"
401,7,start,"{'car_id': 5, 'proc_time': 78}"
402,49,breakdown,{'downtime': 58}
403,5,finish,"{'car_id': 6, 'to': 6}"
404,6,start,"{'car_id': 6, 'proc_time': 59}"
409,1,breakdown,{'downtime': 654}
416,4,finish,"{'car_id': 7, 'to': 5}"
417,5,start,"{'car_id': 7, 'proc_time': 52}"
420,3,finish,"{'car_id': 8, 'to': 4}"
421,4,start,"{'car_id': 8, 'proc_time': 108}"
427,6,finish,"{'car_id': 6, 'to': 7}"
430,2,finish,"{'car_id': 9, 'to': 3}"
430,2,start,"{'car_id': 10, 'proc_time': 79}"
430,7,finish,"{'car_id': 5, 'to': 8}"
430,7,start,"{'car_id': 6, 'proc_time': 71}"
431,3,start,"{'car_id': 9, 'proc_time': 77}"
438,5,quality_fail,{'severity': 0.0665323461249245}
438,5,finish,"{'car_id': 7, 'to': 6}"
439,6,start,"{'car_id': 7, 'proc_time': 63}"
450,8,finish,"{'car_id': 3, 'to': 9}"
450,8,start,"{'car_id': 4, 'proc_time': 89}"
451,3,quality_fail,{'severity': 0.24416776528445436}
451,3,finish,"{'car_id': 9, 'to': 4}"
451,9,start,"{'car_id': 3, 'proc_time': 91}"
453,4,finish,"{'car_id': 8, 'to': 5}"
453,4,start,"{'car_id': 9, 'proc_time': 91}"
454,5,start,"{'car_id': 8, 'proc_time': 55}"
458,7,finish,"{'car_id': 6, 'to': 8}"
463,6,finish,"{'car_id': 7, 'to': 7}"
464,7,start,"{'car_id': 7, 'proc_time': 75}"
465,2,quality_fail,{'severity': 0.29800615983171774}
465,2,finish,"{'car_id': 10, 'to': 3}"
466,3,start,"{'car_id': 10, 'proc_time': 118}"
473,10,start,"{'car_id': 0, 'proc_time': 46}"
475,9,finish,"{'car_id': 3, 'to': 10}"
476,5,finish,"{'car_id': 8, 'to': 6}"
477,6,start,"{'car_id': 8, 'proc_time': 56}"
483,4,finish,"{'car_id': 9, 'to': 5}"
484,5,start,"{'car_id': 9, 'proc_time': 62}"
490,0,quality_fail,{'severity': 0.10420625625727929}
490,3,finish,"{'car_id': 10, 'to': 4}"
490,8,finish,"{'car_id': 4, 'to': 9}"
490,8,start,"{'car_id': 5, 'proc_time': 109}"
491,0,quality_fail,{'severity': 0.285351425861628}
491,4,start,"{'car_id': 10, 'proc_time': 80}"
491,9,start,"{'car_id': 4, 'proc_time': 88}"
493,7,finish,"{'car_id': 7, 'to': 8}"
499,6,finish,"{'car_id': 8, 'to': 7}"
500,7,start,"{'car_id': 8, 'proc_time': 81}"
508,5,finish,"{'car_id': 9, 'to': 6}"
509,6,start,"{'car_id': 9, 'proc_time': 62}"
515,9,finish,"{'car_id': 4, 'to': 10}"
518,4,finish,"{'car_id': 10, 'to': 5}"
519,5,start,"{'car_id': 10, 'proc_time': 47}"
519,10,finish,"{'car_id': 0, 'to': 11}"
519,10,start,"{'car_id': 1, 'proc_time': 58}"
520,11,start,"{'car_id': 0, 'proc_time': 55}"
530,7,finish,"{'car_id': 8, 'to': 8}"
532,6,finish,"{'car_id': 9, 'to': 7}"
533,7,start,"{'car_id': 9, 'proc_time': 83}"
537,8,finish,"{'car_id': 5, 'to': 9}"
537,8,start,"{'car_id': 6, 'proc_time': 98}"
538,9,start,"{'car_id': 5, 'proc_time': 78}"
539,5,finish,"{'car_id': 10, 'to': 6}"
540,6,start,"{'car_id': 10, 'proc_time': 43}"
558,6,finish,"{'car_id': 10, 'to': 7}"
560,9,finish,"{'car_id': 5, 'to': 10}"
564,7,finish,"{'car_id': 9, 'to': 8}"
564,7,start,"{'car_id': 10, 'proc_time': 63}"
573,11,finish,"{'car_id': 0, 'to': 12}"
574,12,start,"{'car_id': 0, 'proc_time': 67}"
577,10,finish,"{'car_id': 1, 'to': 11}"
577,10,start,"{'car_id': 2, 'proc_time': 50}"
578,11,start,"{'car_id': 1, 'proc_time': 57}"
580,8,finish,"{'car_id': 6, 'to': 9}"
580,8,start,"{'car_id': 7, 'proc_time': 74}"
581,9,start,"{'car_id': 6, 'proc_time': 104}"
590,7,finish,"{'car_id': 10, 'to': 8}"
601,12,finish,"{'car_id': 0, 'to': 13}"
602,13,start,"{'car_id': 0, 'proc_time': 77}"
607,9,finish,"{'car_id': 6, 'to': 10}"
615,8,finish,"{'car_id': 7, 'to': 9}"
615,8,start,"{'car_id': 8, 'proc_time': 108}"
616,9,start,"{'car_id': 7, 'proc_time': 78}"
627,10,finish,"{'car_id': 2, 'to': 11}"
627,10,start,"{'car_id': 3, 'proc_time': 46}"
633,0,quality_fail,{'severity': 0.23280096675415027}
635,11,finish,"{'car_id': 1, 'to': 12}"
635,11,start,"{'car_id': 2, 'proc_time': 68}"
636,12,start,"{'car_id': 1, 'proc_time': 97}"
638,9,finish,"{'car_id': 7, 'to': 10}"
662,8,finish,"{'car_id': 8, 'to': 9}"
662,8,start,"{'car_id': 9, 'proc_time': 69}"
663,9,start,"{'car_id': 8, 'proc_time': 97}"
670,12,finish,"{'car_id': 1, 'to': 13}"
673,10,finish,"{'car_id': 3, 'to': 11}"
673,10,start,"{'car_id': 4, 'proc_time': 51}"
688,9,finish,"{'car_id': 8, 'to': 10}"
696,8,finish,"{'car_id': 9, 'to': 9}"
696,8,start,"{'car_id': 10, 'proc_time': 100}"
697,9,start,"{'car_id': 9, 'proc_time': 87}"
702,2,breakdown,{'downtime': 133}
703,11,finish,"{'car_id': 2, 'to': 12}"
703,11,start,"{'car_id': 3, 'proc_time': 56}"
704,12,start,"{'car_id': 2, 'proc_time': 74}"
721,9,quality_fail,{'severity': 0.2703667832309786}
721,9,finish,"{'car_id': 9, 'to': 10}"
724,10,finish,"{'car_id': 4, 'to': 11}"
724,10,start,"{'car_id': 5, 'proc_time': 63}"
732,12,finish,"{'car_id': 2, 'to': 13}"
739,29,breakdown,{'downtime': 51}
740,8,finish,"{'car_id': 10, 'to': 9}"
741,9,start,"{'car_id': 10, 'proc_time': 98}"
746,44,breakdown,{'downtime': 1198}
759,11,finish,"{'car_id': 3, 'to': 12}"
759,11,start,"{'car_id': 4, 'proc_time': 66}"
