t_abs,event,station_id,to,timestamp
1382,STATE_CHANGE,3,IDLE,2025-09-13T10:22:08.695269
1390,STATE_CHANGE,4,RUN,2025-09-13T10:22:16.695269
1393,STATE_CHANGE,2,IDLE,2025-09-13T10:22:19.695269
1393,STATE_CHANGE,3,RUN,2025-09-13T10:22:19.695269
1397,STATE_CHANGE,6,IDLE,2025-09-13T10:22:23.695269
1397,STATE_CHANGE,7,IDLE,2025-09-13T10:22:23.695269
1399,STATE_CHANGE,1,RUN,2025-09-13T10:22:25.695269
1403,STATE_CHANGE,5,IDLE,2025-09-13T10:22:29.695269
1403,STATE_CHANGE,8,IDLE,2025-09-13T10:22:29.695269
1408,STATE_CHANGE,7,RUN,2025-09-13T10:22:34.695269
1410,STATE_CHANGE,6,RUN,2025-09-13T10:22:36.695269
1411,STATE_CHANGE,2,RUN,2025-09-13T10:22:37.695269
1417,STATE_CHANGE,3,IDLE,2025-09-13T10:22:43.695269
1418,STATE_CHANGE,8,RUN,2025-09-13T10:22:44.695269
1419,STATE_CHANGE,5,RUN,2025-09-13T10:22:45.695269
1423,STATE_CHANGE,4,IDLE,2025-09-13T10:22:49.695269
1425,STATE_CHANGE,3,RUN,2025-09-13T10:22:51.695269
1439,STATE_CHANGE,1,IDLE,2025-09-13T10:23:05.695269
1445,STATE_CHANGE,4,RUN,2025-09-13T10:23:11.695269
1447,STATE_CHANGE,2,IDLE,2025-09-13T10:23:13.695269
1452,STATE_CHANGE,6,IDLE,2025-09-13T10:23:18.695269
1454,STATE_CHANGE,1,RUN,2025-09-13T10:23:20.695269
1457,STATE_CHANGE,3,IDLE,2025-09-13T10:23:23.695269
1459,STATE_CHANGE,7,IDLE,2025-09-13T10:23:25.695269
1461,STATE_CHANGE,2,RUN,2025-09-13T10:23:27.695269
1464,STATE_CHANGE,5,IDLE,2025-09-13T10:23:30.695269
1465,STATE_CHANGE,8,IDLE,2025-09-13T10:23:31.695269
1467,STATE_CHANGE,6,RUN,2025-09-13T10:23:33.695269
1476,STATE_CHANGE,1,IDLE,2025-09-13T10:23:42.695269
1476,STATE_CHANGE,3,RUN,2025-09-13T10:23:42.695269
1477,STATE_CHANGE,7,RUN,2025-09-13T10:23:43.695269
1478,STATE_CHANGE,8,RUN,2025-09-13T10:23:44.695269
1484,STATE_CHANGE,4,IDLE,2025-09-13T10:23:50.695269
1490,STATE_CHANGE,5,RUN,2025-09-13T10:23:56.695269
1491,STATE_CHANGE,1,RUN,2025-09-13T10:23:57.695269
1491,STATE_CHANGE,4,RUN,2025-09-13T10:23:57.695269
1499,STATE_CHANGE,7,IDLE,2025-09-13T10:24:05.695269
1504,STATE_CHANGE,5,IDLE,2025-09-13T10:24:10.695269
1506,STATE_CHANGE,6,IDLE,2025-09-13T10:24:12.695269
1510,STATE_CHANGE,1,IDLE,2025-09-13T10:24:16.695269
1512,STATE_CHANGE,2,IDLE,2025-09-13T10:24:18.695269
1514,STATE_CHANGE,5,RUN,2025-09-13T10:24:20.695269
1517,STATE_CHANGE,4,IDLE,2025-09-13T10:24:23.695269
1519,STATE_CHANGE,1,RUN,2025-09-13T10:24:25.695269
1519,STATE_CHANGE,6,RUN,2025-09-13T10:24:25.695269
1519,STATE_CHANGE,7,RUN,2025-09-13T10:24:25.695269
1522,STATE_CHANGE,8,IDLE,2025-09-13T10:24:28.695269
1530,STATE_CHANGE,2,RUN,2025-09-13T10:24:36.695269
1535,STATE_CHANGE,3,IDLE,2025-09-13T10:24:41.695269
1537,STATE_CHANGE,8,RUN,2025-09-13T10:24:43.695269
1538,STATE_CHANGE,4,RUN,2025-09-13T10:24:44.695269
1542,STATE_CHANGE,5,IDLE,2025-09-13T10:24:48.695269
1549,STATE_CHANGE,1,IDLE,2025-09-13T10:24:55.695269
1550,STATE_CHANGE,3,RUN,2025-09-13T10:24:56.695269
1551,STATE_CHANGE,6,IDLE,2025-09-13T10:24:57.695269
1554,STATE_CHANGE,5,RUN,2025-09-13T10:25:00.695269
1560,STATE_CHANGE,7,IDLE,2025-09-13T10:25:06.695269
1564,STATE_CHANGE,8,IDLE,2025-09-13T10:25:10.695269
1565,STATE_CHANGE,6,RUN,2025-09-13T10:25:11.695269
1567,STATE_CHANGE,1,RUN,2025-09-13T10:25:13.695269
1572,STATE_CHANGE,4,IDLE,2025-09-13T10:25:18.695269
1572,STATE_CHANGE,7,RUN,2025-09-13T10:25:18.695269
1578,STATE_CHANGE,8,RUN,2025-09-13T10:25:24.695269
1584,STATE_CHANGE,2,IDLE,2025-09-13T10:25:30.695269
1586,STATE_CHANGE,4,RUN,2025-09-13T10:25:32.695269
1593,STATE_CHANGE,3,IDLE,2025-09-13T10:25:39.695269
1602,STATE_CHANGE,2,RUN,2025-09-13T10:25:48.695269
1602,STATE_CHANGE,5,IDLE,2025-09-13T10:25:48.695269
1606,STATE_CHANGE,6,IDLE,2025-09-13T10:25:52.695269
1607,STATE_CHANGE,8,IDLE,2025-09-13T10:25:53.695269
1608,STATE_CHANGE,7,IDLE,2025-09-13T10:25:54.695269
1609,STATE_CHANGE,3,RUN,2025-09-13T10:25:55.695269
1614,STATE_CHANGE,6,RUN,2025-09-13T10:26:00.695269
1618,STATE_CHANGE,8,RUN,2025-09-13T10:26:04.695269
1620,STATE_CHANGE,4,IDLE,2025-09-13T10:26:06.695269
1622,STATE_CHANGE,1,IDLE,2025-09-13T10:26:08.695269
1622,STATE_CHANGE,2,IDLE,2025-09-13T10:26:08.695269
1622,STATE_CHANGE,5,RUN,2025-09-13T10:26:08.695269
1628,STATE_CHANGE,7,RUN,2025-09-13T10:26:14.695269
1630,STATE_CHANGE,4,RUN,2025-09-13T10:26:16.695269
1635,STATE_CHANGE,3,IDLE,2025-09-13T10:26:21.695269
1642,STATE_CHANGE,5,IDLE,2025-09-13T10:26:28.695269
1643,STATE_CHANGE,1,RUN,2025-09-13T10:26:29.695269
1643,STATE_CHANGE,3,RUN,2025-09-13T10:26:29.695269
1644,STATE_CHANGE,2,RUN,2025-09-13T10:26:30.695269
1653,STATE_CHANGE,6,IDLE,2025-09-13T10:26:39.695269
1653,STATE_CHANGE,7,IDLE,2025-09-13T10:26:39.695269
1655,STATE_CHANGE,5,RUN,2025-09-13T10:26:41.695269
1658,STATE_CHANGE,8,IDLE,2025-09-13T10:26:44.695269
1664,STATE_CHANGE,7,RUN,2025-09-13T10:26:50.695269
1668,STATE_CHANGE,6,RUN,2025-09-13T10:26:54.695269
1670,STATE_CHANGE,8,RUN,2025-09-13T10:26:56.695269
1678,STATE_CHANGE,4,IDLE,2025-09-13T10:27:04.695269
1681,STATE_CHANGE,2,IDLE,2025-09-13T10:27:07.695269
1684,STATE_CHANGE,1,IDLE,2025-09-13T10:27:10.695269
1689,STATE_CHANGE,3,IDLE,2025-09-13T10:27:15.695269
1692,STATE_CHANGE,4,RUN,2025-09-13T10:27:18.695269
1693,STATE_CHANGE,1,RUN,2025-09-13T10:27:19.695269
1695,STATE_CHANGE,2,RUN,2025-09-13T10:27:21.695269
1702,STATE_CHANGE,6,IDLE,2025-09-13T10:27:28.695269
1707,STATE_CHANGE,3,RUN,2025-09-13T10:27:33.695269
1707,STATE_CHANGE,5,IDLE,2025-09-13T10:27:33.695269
1707,STATE_CHANGE,7,IDLE,2025-09-13T10:27:33.695269
1711,STATE_CHANGE,8,IDLE,2025-09-13T10:27:37.695269
1721,STATE_CHANGE,6,RUN,2025-09-13T10:27:47.695269
1723,STATE_CHANGE,5,RUN,2025-09-13T10:27:49.695269
1723,STATE_CHANGE,7,RUN,2025-09-13T10:27:49.695269
1730,STATE_CHANGE,8,RUN,2025-09-13T10:27:56.695269
1735,STATE_CHANGE,1,IDLE,2025-09-13T10:28:01.695269
1742,STATE_CHANGE,2,IDLE,2025-09-13T10:28:08.695269
1746,STATE_CHANGE,4,IDLE,2025-09-13T10:28:12.695269
1749,STATE_CHANGE,1,RUN,2025-09-13T10:28:15.695269
1751,STATE_CHANGE,8,IDLE,2025-09-13T10:28:17.695269
1753,STATE_CHANGE,5,IDLE,2025-09-13T10:28:19.695269
1756,STATE_CHANGE,3,IDLE,2025-09-13T10:28:22.695269
1759,STATE_CHANGE,2,RUN,2025-09-13T10:28:25.695269
1761,STATE_CHANGE,6,IDLE,2025-09-13T10:28:27.695269
1763,STATE_CHANGE,7,IDLE,2025-09-13T10:28:29.695269
1765,STATE_CHANGE,3,RUN,2025-09-13T10:28:31.695269
1767,STATE_CHANGE,4,RUN,2025-09-13T10:28:33.695269
1767,STATE_CHANGE,5,RUN,2025-09-13T10:28:33.695269
1770,STATE_CHANGE,8,RUN,2025-09-13T10:28:36.695269
1771,STATE_CHANGE,6,RUN,2025-09-13T10:28:37.695269
1771,STATE_CHANGE,7,RUN,2025-09-13T10:28:37.695269
1784,STATE_CHANGE,2,IDLE,2025-09-13T10:28:50.695269
1790,STATE_CHANGE,1,IDLE,2025-09-13T10:28:56.695269
1795,STATE_CHANGE,2,RUN,2025-09-13T10:29:01.695269
