t_abs,event,station_id,to,timestamp
312,STATE_CHANGE,4,IDLE,2025-09-13T10:04:18.695269
320,STATE_CHANGE,8,RUN,2025-09-13T10:04:26.695269
321,STATE_CHANGE,6,IDLE,2025-09-13T10:04:27.695269
325,STATE_CHANGE,3,RUN,2025-09-13T10:04:31.695269
333,STATE_CHANGE,6,RUN,2025-09-13T10:04:39.695269
334,STATE_CHANGE,4,RUN,2025-09-13T10:04:40.695269
334,STATE_CHANGE,5,IDLE,2025-09-13T10:04:40.695269
336,STATE_CHANGE,1,IDLE,2025-09-13T10:04:42.695269
336,STATE_CHANGE,7,IDLE,2025-09-13T10:04:42.695269
339,STATE_CHANGE,7,RUN,2025-09-13T10:04:45.695269
346,STATE_CHANGE,2,IDLE,2025-09-13T10:04:52.695269
353,STATE_CHANGE,3,IDLE,2025-09-13T10:04:59.695269
353,STATE_CHANGE,5,RUN,2025-09-13T10:04:59.695269
354,STATE_CHANGE,1,RUN,2025-09-13T10:05:00.695269
361,STATE_CHANGE,8,IDLE,2025-09-13T10:05:07.695269
363,STATE_CHANGE,2,RUN,2025-09-13T10:05:09.695269
365,STATE_CHANGE,3,RUN,2025-09-13T10:05:11.695269
371,STATE_CHANGE,6,IDLE,2025-09-13T10:05:17.695269
384,STATE_CHANGE,8,RUN,2025-09-13T10:05:30.695269
386,STATE_CHANGE,5,IDLE,2025-09-13T10:05:32.695269
386,STATE_CHANGE,7,IDLE,2025-09-13T10:05:32.695269
388,STATE_CHANGE,4,IDLE,2025-09-13T10:05:34.695269
392,STATE_CHANGE,2,IDLE,2025-09-13T10:05:38.695269
392,STATE_CHANGE,6,RUN,2025-09-13T10:05:38.695269
393,STATE_CHANGE,1,IDLE,2025-09-13T10:05:39.695269
396,STATE_CHANGE,4,RUN,2025-09-13T10:05:42.695269
399,STATE_CHANGE,5,RUN,2025-09-13T10:05:45.695269
400,STATE_CHANGE,3,IDLE,2025-09-13T10:05:46.695269
401,STATE_CHANGE,7,RUN,2025-09-13T10:05:47.695269
408,STATE_CHANGE,2,RUN,2025-09-13T10:05:54.695269
412,STATE_CHANGE,1,RUN,2025-09-13T10:05:58.695269
416,STATE_CHANGE,3,RUN,2025-09-13T10:06:02.695269
419,STATE_CHANGE,6,IDLE,2025-09-13T10:06:05.695269
419,STATE_CHANGE,8,IDLE,2025-09-13T10:06:05.695269
425,STATE_CHANGE,8,RUN,2025-09-13T10:06:11.695269
434,STATE_CHANGE,2,IDLE,2025-09-13T10:06:20.695269
436,STATE_CHANGE,4,IDLE,2025-09-13T10:06:22.695269
442,STATE_CHANGE,6,RUN,2025-09-13T10:06:28.695269
450,STATE_CHANGE,1,IDLE,2025-09-13T10:06:36.695269
451,STATE_CHANGE,2,RUN,2025-09-13T10:06:37.695269
454,STATE_CHANGE,7,IDLE,2025-09-13T10:06:40.695269
458,STATE_CHANGE,4,RUN,2025-09-13T10:06:44.695269
459,STATE_CHANGE,3,IDLE,2025-09-13T10:06:45.695269
461,STATE_CHANGE,5,IDLE,2025-09-13T10:06:47.695269
462,STATE_CHANGE,7,RUN,2025-09-13T10:06:48.695269
465,STATE_CHANGE,1,RUN,2025-09-13T10:06:51.695269
473,STATE_CHANGE,3,RUN,2025-09-13T10:06:59.695269
474,STATE_CHANGE,8,IDLE,2025-09-13T10:07:00.695269
485,STATE_CHANGE,2,IDLE,2025-09-13T10:07:11.695269
486,STATE_CHANGE,5,RUN,2025-09-13T10:07:12.695269
487,STATE_CHANGE,8,RUN,2025-09-13T10:07:13.695269
489,STATE_CHANGE,6,IDLE,2025-09-13T10:07:15.695269
495,STATE_CHANGE,7,IDLE,2025-09-13T10:07:21.695269
497,STATE_CHANGE,3,IDLE,2025-09-13T10:07:23.695269
499,STATE_CHANGE,4,IDLE,2025-09-13T10:07:25.695269
501,STATE_CHANGE,2,RUN,2025-09-13T10:07:27.695269
503,STATE_CHANGE,6,RUN,2025-09-13T10:07:29.695269
504,STATE_CHANGE,7,RUN,2025-09-13T10:07:30.695269
508,STATE_CHANGE,1,IDLE,2025-09-13T10:07:34.695269
514,STATE_CHANGE,3,RUN,2025-09-13T10:07:40.695269
516,STATE_CHANGE,4,RUN,2025-09-13T10:07:42.695269
523,STATE_CHANGE,1,RUN,2025-09-13T10:07:49.695269
534,STATE_CHANGE,5,IDLE,2025-09-13T10:08:00.695269
535,STATE_CHANGE,6,IDLE,2025-09-13T10:08:01.695269
541,STATE_CHANGE,8,IDLE,2025-09-13T10:08:07.695269
545,STATE_CHANGE,2,IDLE,2025-09-13T10:08:11.695269
550,STATE_CHANGE,5,RUN,2025-09-13T10:08:16.695269
555,STATE_CHANGE,7,IDLE,2025-09-13T10:08:21.695269
557,STATE_CHANGE,8,RUN,2025-09-13T10:08:23.695269
558,STATE_CHANGE,2,RUN,2025-09-13T10:08:24.695269
560,STATE_CHANGE,3,IDLE,2025-09-13T10:08:26.695269
560,STATE_CHANGE,6,RUN,2025-09-13T10:08:26.695269
568,STATE_CHANGE,4,IDLE,2025-09-13T10:08:34.695269
569,STATE_CHANGE,1,IDLE,2025-09-13T10:08:35.695269
574,STATE_CHANGE,4,RUN,2025-09-13T10:08:40.695269
577,STATE_CHANGE,7,RUN,2025-09-13T10:08:43.695269
580,STATE_CHANGE,3,RUN,2025-09-13T10:08:46.695269
585,STATE_CHANGE,1,RUN,2025-09-13T10:08:51.695269
591,STATE_CHANGE,5,IDLE,2025-09-13T10:08:57.695269
594,STATE_CHANGE,6,IDLE,2025-09-13T10:09:00.695269
598,STATE_CHANGE,8,IDLE,2025-09-13T10:09:04.695269
601,STATE_CHANGE,5,RUN,2025-09-13T10:09:07.695269
603,STATE_CHANGE,2,IDLE,2025-09-13T10:09:09.695269
610,STATE_CHANGE,7,IDLE,2025-09-13T10:09:16.695269
611,STATE_CHANGE,6,RUN,2025-09-13T10:09:17.695269
612,STATE_CHANGE,8,RUN,2025-09-13T10:09:18.695269
616,STATE_CHANGE,4,IDLE,2025-09-13T10:09:22.695269
620,STATE_CHANGE,2,RUN,2025-09-13T10:09:26.695269
624,STATE_CHANGE,7,RUN,2025-09-13T10:09:30.695269
626,STATE_CHANGE,5,IDLE,2025-09-13T10:09:32.695269
628,STATE_CHANGE,3,IDLE,2025-09-13T10:09:34.695269
631,STATE_CHANGE,1,IDLE,2025-09-13T10:09:37.695269
633,STATE_CHANGE,4,RUN,2025-09-13T10:09:39.695269
639,STATE_CHANGE,3,RUN,2025-09-13T10:09:45.695269
643,STATE_CHANGE,6,IDLE,2025-09-13T10:09:49.695269
646,STATE_CHANGE,5,RUN,2025-09-13T10:09:52.695269
647,STATE_CHANGE,1,RUN,2025-09-13T10:09:53.695269
648,STATE_CHANGE,6,RUN,2025-09-13T10:09:54.695269
654,STATE_CHANGE,2,IDLE,2025-09-13T10:10:00.695269
657,STATE_CHANGE,8,IDLE,2025-09-13T10:10:03.695269
668,STATE_CHANGE,7,IDLE,2025-09-13T10:10:14.695269
671,STATE_CHANGE,8,RUN,2025-09-13T10:10:17.695269
673,STATE_CHANGE,4,IDLE,2025-09-13T10:10:19.695269
678,STATE_CHANGE,2,RUN,2025-09-13T10:10:24.695269
683,STATE_CHANGE,1,IDLE,2025-09-13T10:10:29.695269
686,STATE_CHANGE,6,IDLE,2025-09-13T10:10:32.695269
689,STATE_CHANGE,4,RUN,2025-09-13T10:10:35.695269
692,STATE_CHANGE,5,IDLE,2025-09-13T10:10:38.695269
694,STATE_CHANGE,1,RUN,2025-09-13T10:10:40.695269
694,STATE_CHANGE,7,RUN,2025-09-13T10:10:40.695269
701,STATE_CHANGE,3,IDLE,2025-09-13T10:10:47.695269
701,STATE_CHANGE,6,RUN,2025-09-13T10:10:47.695269
706,STATE_CHANGE,8,IDLE,2025-09-13T10:10:52.695269
